,Precipitation
,Precipitation (cm)
year,max_val
1895,12.319
1896,10.3505
1897,11.83005
1898,15.23788333
1899,9.323916667
1900,16.29833333
1901,11.557
1902,9.552516667
1903,10.62143333
1904,8.682566667
1905,16.44861667
1906,9.141883333
1907,13.25668333
1908,12.26608333
1909,13.05136667
1910,11.36861667
1911,13.37521667
1912,14.6431
1913,13.26091667
1914,11.6332
1915,12.08616667
1916,11.8237
1917,8.390466667
1918,14.20495
1919,15.40298333
1920,14.86535
1921,9.27735
1922,14.50128333
1923,14.22611667
1924,8.485716667
1925,12.3063
1926,16.30468333
1927,12.44388333
1928,14.19225
1929,16.15016667
1930,12.75926667
1931,12.73386667
1932,15.4559
1933,11.2268
1934,13.58688333
1935,11.98245
1936,11.30723333
1937,13.7795
1938,10.21926667
1939,11.94646667
1940,15.65275
1941,12.38885
1942,16.06973333
1943,12.37826667
1944,14.66215
1945,13.4112
1946,16.79998333
1947,15.46013333
1948,15.92156667
1949,13.63768333
1950,10.89448333
1951,10.73361667
1952,11.25855
1953,14.39333333
1954,10.71245
1955,11.97186667
1956,13.12121667
1957,13.95518333
1958,13.44506667
1959,15.76705
1960,11.03418333
1961,16.2433
1962,8.4455
1963,11.42153333
1964,14.15415
1965,12.23433333
1966,15.87923333
1967,12.58358333
1968,10.2108
1969,11.37285
1970,12.20258333
1971,12.42483333
1972,13.20376667
1973,15.3162
1974,12.85875
1975,14.92885
1976,10.9601
1977,14.66426667
1978,13.96153333
1979,14.2367
1980,15.81996667
1981,10.20445
1982,13.5128
1983,15.97448333
1984,11.11885
1985,14.01021667
1986,10.86696667
1987,13.40485
1988,15.47283333
1989,11.78136667
1990,11.18235
1991,19.66171667
1992,17.53446667
1993,13.47258333
1994,12.35921667
1995,13.09158333
1996,11.3284
1997,13.63556667
1998,15.9258
1999,10.06475
2000,9.82345
2001,13.63768333
2002,14.92038333
2003,12.60263333
2004,14.91403333
2005,12.07346667
2006,10.63625
2007,11.99303333
2008,12.27878333
2009,13.6017
2010,11.0109
2011,9.711266667
2012,15.15321667
2013,13.94248333
2014,12.08193333
2015,14.12663333
2016,14.56055
2017,14.87381667
2018,13.75833333
2019,12.34228333
2020,12.39943333
2021,18.11866667
