indicator,Red Drum,Red Drum,Red Drum
units,Average CPUE,Average CPUE,Average CPUE
extent,Gill,Seine,Trammel
1985,1,1,14
1986,1.461538462,2.583333333,2
1987,2.363636364,5.862068966,4.666666667
1988,7.714285714,6.064516129,2.5
1989,3.333333333,4.9,1
1990,1,1.875,1
1991,2.545454545,5.6,25
1992,2.1,2.583333333,8.333333333
1993,3.625,4.25,4.428571429
1994,1.888888889,2.19047619,6.857142857
1995,5.7,1.25,10.4
1996,1.411764706,1.285714286,12.1
1997,1,1.166666667,3.4
1998,1.076923077,2.083333333,6.5
1999,2.317073171,10.18421053,1.5
2000,1.166666667,7.695652174,2.25
2001,1.666666667,2,1
2002,1.166666667,1.125,1
2003,1,2.571428571,2.444444444
2004,1.375,1.75,1.428571429
2005,1.5,1.357142857,1.714285714
2006,1.2,30.4,1.571428571
2007,1.5,1.428571429,1.666666667
2008,1.111111111,1.083333333,1.714285714
2009,1.318181818,1.5,2.272727273
2010,1.95,1,6.733333333
2011,1.944444444,1.333333333,2.916666667
2012,1.779220779,5.785714286,5.5
2013,3.590909091,1.25,3.09375
2014,1.583333333,1.368421053,1.9
2015,1.736842105,2.083333333,2.444444444
2016,1.722222222,3.25,1.866666667
2017,1.476190476,2.146341463,2.1875
2018,1.5,1.32,5.727272727
2019,1.633333333,2.5,2.111111111
2020,2.285714286,1.136363636,2
2021,1,1,2.888888889
2022,1,7.655172414,1.571428571
