indicator,Oyster Catch & Revenue,Oyster Catch
units,Dollars (millions,Kilograms (millions)
extent,Oyster Revenue,Oyster Catch
2000,6.93757826,1.260933067
2001,4.78575086,0.90550951
2002,2.26308092,0.416402256
2003,8.06232376,1.412649922
2004,10.56801985,1.873516873
2005,8.57499026,1.378693914
2006,8.41492421,1.106775903
2007,8.70710171,1.127640308
2008,6.92283054,0.948262859
2009,13.3785262,1.68523107
2010,4.57989394,0.537482413
2011,14.64428661,1.534383947
2012,17.98926908,1.787324051
2013,16.76039163,1.641061461
2014,27.84484164,2.00389642
2015,33.37030196,2.178721786
2016,25.19435065,1.851766327
2017,39.9756236,2.448076836
2018,38.01980418,2.356894828
