indices,GoM SST
units,°C
extent,GOM
1960,24.4067
1961,24.5263
1962,24.8877
1963,24.7313
1964,24.445
1965,24.7667
1966,24.3961
1967,24.6583
1968,24.312
1969,24.4596
1970,23.8547
1971,24.5216
1972,25.1177
1973,24.6725
1974,24.775
1975,24.9744
1976,24.0922
1977,24.4453
1978,24.4217
1979,24.4129
1980,24.7296
1981,24.4337
1982,24.7789
1983,24.3172
1984,23.7526
1985,24.4708
1986,24.8389
1987,24.416
1988,23.9913
1989,24.7858
1990,24.4886
1991,24.8214
1992,24.3719
1993,24.2199
1994,24.2758
1995,24.6539
1996,24.2049
1997,24.4803
1998,24.3955
1999,24.9263
2000,24.928
2001,24.6883
2002,24.968
2003,24.5438
2004,24.9752
2005,24.9577
2006,25.0423
2007,25.0152
2008,24.4827
2009,24.6434
2010,23.9872
2011,24.3771
2012,24.9361
2013,24.2982
2014,24.2243
2015,25.147
2016,25.1207
2017,24.9738
2018,25.2253
2019,24.9938
